Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%),NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
6/30/2014,IDbank,7,1,,,,1,1,,1,2,,,5.44,0.183823529,2637117,47070756,-1013146,48083902,38.74,38.42,0,69223971,56964279,12259692,10816300,47070756,39041947,39041947,0,-810453,-3,-13,2900573,1970928,929645,482035,58677,423358,177,-186934,1244556,721461,1333548,0,-810453,0,-810453,,,,0.040348876,24.78383784,314911.00,2448061.00
6/30/2014,Ararat,24,3,3,3,2,3,2,1,4,2,,1,2.87,0.348432056,1758882,60030774,-1193410,61224184,67.85,67.85,0,116467267,94870698,21596569,6387505,60030774,55469174,57111473,1642299,2096955,3,20,5781496,2356937,3424559,478812,178002,300810,0,-233264,3991209,-212251,1633785,0,2569675,472720,2096955,,,,0.083307607,12.00370574,566650.00,15388656.00
6/30/2014,AREXIM,7,1,,,1,2,2,,2,1,,,14.77,0.067704807,12380996,82573484,-1255604,83829088,10.14,10.14,0,146499017,124621816,21877201,16452130,82573484,71184729,71184729,0,547612,1,5,5429847,3061162,2368685,416974,185995,230979,0,652726,3536649,589637,2251008,0,696004,148392,547612,,,,0.051256528,19.50971006,1167964.00,1651281.00
6/30/2014,ArmSwiss,1,,,,,,,,,,,,6.68,0.149700599,2068131,29960663,-1008459,30969122,48.76,48.76,0,72580062,51323779,21256283,8752800,29960663,27285242,27285242,0,1167743,3,11,3652238,1691381,1960857,89789,25672,64117,0,65483,2309324,372200,479381,0,1457743,290000,1167743,,,,0.062250527,16.06412103,348467.00,32303208.00
6/30/2014,Artsakh,9,,,,,,,,,,,15,16.79,0.059559261,10082608,57306765,-2747428,60054193,27.25,27.25,0,84510556,71514909,12995647,6561150,57306765,52461686,52461686,0,-672821,-2,-10,4891655,2981505,1910150,271267,54133,217134,0,99779,2329012,1552937,1448896,0,-672821,0,-672821,,,,0.054248798,18.43358815,418862.00,6901896.00
6/30/2014,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,5.8,0.172413793,10641403,179291687,-4173958,183465645,39.22,39.22,0,275353423,229508923,45844500,13802404,179291687,180886128,180886128,0,2801522,2,12,13850038,7556366,6293672,1693449,303872,1389577,0,-108315,9510071,1915865,4061795,0,3532411,730889,2801522,,,,0.060963373,16.40329186,3216399.00,15128020.00
6/30/2014,BTA,5,,,,,,,,1,,,,5.12,0.1953125,365713,6646027,-85243,6731270,24.72,23.31,0,12842268,7116580,5725688,6520000,6646027,3671840,3671840,0,10760,0,0,647582,264443,383139,102812,66043,36769,0,-26657,414348,-24195,420967,0,17576,6816,10760,,,,0.098316784,10.17120332,31209.00,1026271.00
6/30/2014,Byblos,5,1,,,,,,,,,,,23.69,0.042211904,5690895,22587502,-1437264,24024766,25.26,25.26,0,41265253,32491893,8773360,8125100,22587502,26573574,26573574,0,-234048,-1,-5,1603020,1033822,569198,41565,21904,19661,0,-9096,595798,106567,614099,0,-124868,109180,-234048,,,,0.034573521,28.92386922,26600.00,4980392.00
6/30/2014,Converse,15,2,2,2,1,5,3,1,3,1,,1,4.33,0.230946882,3518694,78245281,-2942256,81187537,83.62,83.62,0,127075239,107359861,19715378,4860033,78245281,88482057,88482057,0,903176,1,9,6078216,3083020,2995196,723786,247662,476124,1307,99107,3956061,-2417,2800560,0,1157918,254742,903176,,,,0.063494047,15.74950798,960865.00,7794482.00
6/30/2014,Econom,19,3,1,1,2,3,2,1,2,3,1,1,1.51,0.662251656,641048,41658161,-863587,42521748,134.71,134.71,0,81809068,70830423,10978645,2333338,41658161,49620898,49620898,0,93325,0,2,3723775,1975261,1748514,830607,164736,665871,0,-417087,2446853,122961,2154373,17677,151842,58517,93325,,,,0.059778866,16.72832001,698339.00,7841405.00
