Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
12/31/2020,Mellat,1,0,0,0,0,0,0,0,0,0,0,0,2.92,578174,19424936,-357447,19782383,61.82,61.82,3.76,77641843,36997473,40644370,32100000,19424936,5548121,5548121,0,2150539,3,5,3932972,60992,3871980,270655,38478,232177,0,31056,4258840,587342,1017336,0,2654162,503623,2150539,43929770,33540190,171883,0.238876314,4.186266873,386860,32935036
12/31/2020,Uni,31,4,1,3,2,2,2,2,2,3,1,2,18.52,30894438,156575090,-10282759,166857849,33.28,33.28,3.57,238172052,204272970,33899082,20489653,156575090,156805550,166303752,9498202,238576,0,1,19471091,9419847,10051244,2770901,614638,2156263,0,-2113897,11211979,5786898,4983365,0,441716,203140,238576,122644894,111759294,3767864,0.444467921,2.249881156,1160735,16549934
12/31/2020,VTB,28,5,4,4,5,5,2,5,7,5,3,0,11.33,25787582,203703726,-23947124,227650850,92.86,92.86,4.73,333754414,284121414,49633000,63775674,203703726,261032419,261032419,0,2007134,1,4,35846074,12726364,23119710,2835881,1241612,1594269,0,-3274452,23089319,10429597,9236530,0,3423192,1416058,2007134,229532209.6,100517793,3704411.44,0.40003475,2.499782831,-30391,18410332
3/31/2021,ABB,30,3,2,3,3,3,1,3,4,4,0,5,3.51,22278282,624930302,-10358110,635288412,46.49,46.49,2.83,898242345,842691403,55550942,42090187,624930302,603016461,605974094,2957633,1165968,1,8,14753802,9915187,4838615,2895322,112543,2782779,0,-751680,7794804,4554932,1770437,0,1469435,303467,1165968,532835093,360878049,4529203,0.227130406,4.402757066,2956189,90311434
3/31/2021,ACBA,18,5,4,4,4,5,4,5,6,5,2,0,4,13562374,324567413,-14633157,339200570,107.9,107.9,2.72,493412910,422015365,71397545,30000000,324567413,278402366,279882422,1480056,659219,1,4,11124329,5175230,5949099,1311655,544136,767519,3104,-901718,6364782,2298853,3403279,161984,824634,165415,659219,325664038,166543951,1204921,0.534704724,1.87019107,415683,30561431
3/31/2021,Ameria,13,1,1,2,0,1,1,0,1,0,1,0,4.15,29704012,692334259,-23391351,715725610,78.75,78.75,1.72,1010504995,896699345,113805650,37426880,692334259,503055404,617389022,114333618,3966062,2,14,18142503,7734682,10407821,1566152,402725,1163427,0,-524917,12515648,3083769,4505649,0,4926229,960167,3966062,389676582.4,613346035,7482378,0.360001299,2.777767755,2107827,63248738
3/31/2021,Ararat,24,4,4,3,2,5,2,1,6,2,0,1,3.37,5212992,149339212,-5248195,154587407,100.68,100.68,-0.2,266539896,226462029,40077867,8803655,149339212,106936514,122332375,15395861,1796611,3,18,4688214,2466213,2222001,473444,224512,248932,0,400015,3152882,-78210,1344254,0,1886838,90227,1796611,124408894,141369329,761673,0.426357219,2.345451081,930881,44825428
3/31/2021,Armswiss,1,0,0,0,0,0,0,0,0,0,0,0,7.48,9652574,121704567,-7290420,128994987,75.53,75.53,2.77,374342026,311221301,63120725,10000200,121704567,125082742,190580380,65497638,1516586,2,10,7825153,5194994,2630159,111020,37365,73655,39126,24942,3250305,895474,488245,0,1866586,350000,1516586,255456085,115836731,3049210,0.150215134,6.657118849,620146,213148968
3/31/2021,Artsakh,9,0,0,0,0,0,0,0,0,0,0,11,1.13,999193,82318995,-5732833,88051828,573.75,573.75,-0.99,187610001,142460633,45149368,23261150,82318995,95661658,95661658,0,1601941,3,14,4371001,1865263,2505738,138036,74380,63656,0,-429739,2227567,-261751,587377,0,1901941,300000,1601941,,,,0.263685447,3.792397386,-278171,77849896
3/31/2021,ASHB,19,6,4,5,5,6,3,3,4,4,2,0,7.59,46459874,592562077,-19490407,612052484,41.95,41.95,2.91,955910861,863511700,92399161,52227200,629315088,373902093,557783710,183881617,2701117,1,12,18404035,10322676,8081359,1617968,552036,1065932,0,441265,10837422,4462348,3103367,0,3271708,570591,2701117,478509072.6,474345838,3055950,0.286356563,3.49214975,2756063,81173245
3/31/2021,Byblos,4,0,0,0,0,0,0,0,0,0,0,0,2.25,884991,38499407,-825151,39324558,93.24,93.24,-0.01,100622840,70850248,29772592,26249100,38499407,59948307,59948307,0,276158,1,4,1580714,866552,714162,33942,34804,-862,0,-10975,722919,-697,386857,0,336759,60601,276158,49962097,50642487,18256,0.535131875,1.868698253,8757,26347226
3/31/2021,Converse,16,1,2,1,1,5,3,1,3,1,0,1,7.7,18478103,230243815,-9671608,239915423,52.34,52.34,1.12,356402530,307208816,49193714,19947633,230243815,239194404,261170547,21976143,1025847,1,8,6491492,2832636,3658856,832407,389091,443316,0,166276,4727852,671151,2751990,0,1304711,278864,1025847,139638511.3,213841518,2922500.75,0.582080404,1.717975718,1068996,42648253
3/31/2021,Econom,33,3,1,2,1,5,2,1,2,2,1,1,0.84,1723611,200944054,-3426782,204370836,198.81,198.81,3.27,330025410,287329774,42695636,26107556,200944054,116822788,123259959,6437171,-217210,0,-2,6542721,3539319,3003402,682590,228491,454099,0,-633778,3133069,1640213,1747735,0,-254879,-37668,-217210,209862972,118647246,1515192,0.557834826,1.792645338,129667,43446937
3/31/2021,Evoca,11,1,0,0,0,1,0,0,1,0,0,0,4.27,4985685,112178578,-4536407,116714985,90.99,90.99,1.6,205599972,171398484,34201488,20000000,112178578,124243371,130576020,6332649,338464,1,4,3655280,2039444,1615836,353934,219117,134817,0,-94519,1928637,463849,1041964,0,422824,84360,338464,107476899,96779688,1343385,0.540259261,1.85096318,312801,21081728
3/31/2021,HSBC,8,0,0,0,0,0,0,0,0,0,0,0,12.18,18451667,144801185,-6649935,151451120,36.04,36.04,-0.39,241807212,196724879,45082333,18434350,144801184,175325862,175325862,0,1303194,2,12,3474661,712625,2762036,519518,164699,354819,0,107639,3677015,-147605,2234756,0,1589864,286670,1303194,118565715,119972382,3269115,0.607763634,1.645376498,914979,28838251
3/31/2021,IDbank,11,1,0,0,0,1,1,0,1,0,0,0,10.19,11393698,104072268,-7690592,111762860,67.5,67.5,0.68,181236596,136327293,44909303,33971850,104072268,87396848,101026678,13629830,467810,1,4,3653484,1463878,2189606,602070,237246,364824,0,-451944,2340555,185262,1616961,0,538332,70522,467810,113031585,65336234,2868777,0.69084512,1.447502445,150949,29729640
3/31/2021,Ineco,18,2,0,0,1,2,1,1,1,0,0,0,5.84,13161383,213826597,-11517973,225344570,87.51,87.51,2.44,379617457,319238547,60378910,14545680,213826597,223414782,234539802,11125020,2144730,2,14,8716839,3657344,5059495,834394,427238,407156,0,-685948,5237001,1379494,1232620,0,2624887,480157,2144730,237117546,140134592,2365319,0.235367532,4.248674367,177506,84202179
